@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "CC" NUMERIC
@ATTRIBUTE "CCL" NUMERIC
@ATTRIBUTE "CCO" NUMERIC
@ATTRIBUTE "CI" NUMERIC
@ATTRIBUTE "CLC" NUMERIC
@ATTRIBUTE "CLLC" NUMERIC
@ATTRIBUTE "LDC" NUMERIC
@ATTRIBUTE "LLDC" NUMERIC
@ATTRIBUTE "LCOM5" NUMERIC
@ATTRIBUTE "NL" NUMERIC
@ATTRIBUTE "NLE" NUMERIC
@ATTRIBUTE "WMC" NUMERIC
@ATTRIBUTE "CBO" NUMERIC
@ATTRIBUTE "CBOI" NUMERIC
@ATTRIBUTE "NII" NUMERIC
@ATTRIBUTE "NOI" NUMERIC
@ATTRIBUTE "RFC" NUMERIC
@ATTRIBUTE "AD" NUMERIC
@ATTRIBUTE "CD" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "DLOC" NUMERIC
@ATTRIBUTE "PDA" NUMERIC
@ATTRIBUTE "PUA" NUMERIC
@ATTRIBUTE "TCD" NUMERIC
@ATTRIBUTE "TCLOC" NUMERIC
@ATTRIBUTE "DIT" NUMERIC
@ATTRIBUTE "NOA" NUMERIC
@ATTRIBUTE "NOC" NUMERIC
@ATTRIBUTE "NOD" NUMERIC
@ATTRIBUTE "NOP" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "LOC" NUMERIC
@ATTRIBUTE "NA" NUMERIC
@ATTRIBUTE "NG" NUMERIC
@ATTRIBUTE "NLA" NUMERIC
@ATTRIBUTE "NLG" NUMERIC
@ATTRIBUTE "NLM" NUMERIC
@ATTRIBUTE "NLPA" NUMERIC
@ATTRIBUTE "NLPM" NUMERIC
@ATTRIBUTE "NLS" NUMERIC
@ATTRIBUTE "NM" NUMERIC
@ATTRIBUTE "NOS" NUMERIC
@ATTRIBUTE "NPA" NUMERIC
@ATTRIBUTE "NPM" NUMERIC
@ATTRIBUTE "NS" NUMERIC
@ATTRIBUTE "TLLOC" NUMERIC
@ATTRIBUTE "TLOC" NUMERIC
@ATTRIBUTE "TNA" NUMERIC
@ATTRIBUTE "TNG" NUMERIC
@ATTRIBUTE "TNLA" NUMERIC
@ATTRIBUTE "TNLG" NUMERIC
@ATTRIBUTE "TNLM" NUMERIC
@ATTRIBUTE "TNLPA" NUMERIC
@ATTRIBUTE "TNLPM" NUMERIC
@ATTRIBUTE "TNLS" NUMERIC
@ATTRIBUTE "TNM" NUMERIC
@ATTRIBUTE "TNOS" NUMERIC
@ATTRIBUTE "TNPA" NUMERIC
@ATTRIBUTE "TNPM" NUMERIC
@ATTRIBUTE "TNS" NUMERIC
@ATTRIBUTE "WarningBlocker" NUMERIC
@ATTRIBUTE "WarningCritical" NUMERIC
@ATTRIBUTE "WarningInfo" NUMERIC
@ATTRIBUTE "WarningMajor" NUMERIC
@ATTRIBUTE "WarningMinor" NUMERIC
@ATTRIBUTE "Android Rules" NUMERIC
@ATTRIBUTE "Basic Rules" NUMERIC
@ATTRIBUTE "Brace Rules" NUMERIC
@ATTRIBUTE "Clone Implementation Rules" NUMERIC
@ATTRIBUTE "Clone Metric Rules" NUMERIC
@ATTRIBUTE "Code Size Rules" NUMERIC
@ATTRIBUTE "Cohesion Metric Rules" NUMERIC
@ATTRIBUTE "Comment Rules" NUMERIC
@ATTRIBUTE "Complexity Metric Rules" NUMERIC
@ATTRIBUTE "Controversial Rules" NUMERIC
@ATTRIBUTE "Coupling Metric Rules" NUMERIC
@ATTRIBUTE "Coupling Rules" NUMERIC
@ATTRIBUTE "Design Rules" NUMERIC
@ATTRIBUTE "Documentation Metric Rules" NUMERIC
@ATTRIBUTE "Empty Code Rules" NUMERIC
@ATTRIBUTE "Finalizer Rules" NUMERIC
@ATTRIBUTE "Import Statement Rules" NUMERIC
@ATTRIBUTE "Inheritance Metric Rules" NUMERIC
@ATTRIBUTE "J2EE Rules" NUMERIC
@ATTRIBUTE "JUnit Rules" NUMERIC
@ATTRIBUTE "Jakarta Commons Logging Rules" NUMERIC
@ATTRIBUTE "Java Logging Rules" NUMERIC
@ATTRIBUTE "JavaBean Rules" NUMERIC
@ATTRIBUTE "MigratingToJUnit4 Rules" NUMERIC
@ATTRIBUTE "Migration Rules" NUMERIC
@ATTRIBUTE "Migration13 Rules" NUMERIC
@ATTRIBUTE "Migration14 Rules" NUMERIC
@ATTRIBUTE "Migration15 Rules" NUMERIC
@ATTRIBUTE "Naming Rules" NUMERIC
@ATTRIBUTE "Optimization Rules" NUMERIC
@ATTRIBUTE "Security Code Guideline Rules" NUMERIC
@ATTRIBUTE "Size Metric Rules" NUMERIC
@ATTRIBUTE "Strict Exception Rules" NUMERIC
@ATTRIBUTE "String and StringBuffer Rules" NUMERIC
@ATTRIBUTE "Type Resolution Rules" NUMERIC
@ATTRIBUTE "Unnecessary and Unused Code Rules" NUMERIC
@ATTRIBUTE "Vulnerability Rules" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L187525","0","0","0","0","0","0","0","0","1","2","2","8","5","0","0","8","14","0","0","0","0","0","3","0","0","0","0","0","0","0","51","60","1","1","1","1","6","0","2","0","6","15","0","2","0","73","84","3","1","3","1","9","0","5","0","9","18","0","5","0","0","0","24","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L187581","0","0","0","0","0","0","0","0","1","2","2","10","1","1","1","0","5","0","0","0","0","0","4","0","0","1","1","0","0","1","53","59","4","0","2","0","5","0","3","0","9","18","0","7","0","53","59","4","0","2","0","5","0","3","0","9","18","0","7","0","0","0","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","false"
"L187604","0","0","0","0","0","0","0","0","1","2","2","5","6","0","0","6","8","0","0","0","0","0","3","0","0","1","1","0","0","1","35","39","1","0","1","0","2","0","2","0","2","14","0","2","0","79","86","4","1","4","1","5","0","4","0","5","31","0","4","0","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L58923","0.132678","1","4","1","0.121212","0.137931","16","16","4","2","2","22","9","40","44","11","21","0.125","0.0413223","5","5","1","7","0.04","5","0","0","23","27","0","116","128","3","1","3","1","10","0","7","2","10","43","0","7","2","120","132","6","1","6","1","10","3","7","2","11","43","3","8","2","0","0","36","2","8","0","0","0","0","9","0","1","0","0","0","0","0","7","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","0","false"
"L61677","0","0","0","0","0","0","0","0","1","2","2","39","7","37","123","10","31","0.238095","0.139535","30","30","5","16","0.139535","30","0","0","0","0","0","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","0","1","43","4","9","0","0","0","0","0","0","0","0","0","6","0","0","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","2","0","2","0","0","false"
"L187797","0","0","0","0","0","0","0","0","1","2","2","12","19","1","0","14","20","0.8","0.196721","24","19","4","1","0.114286","24","0","0","0","0","0","98","129","2","0","2","0","6","1","4","0","6","45","1","4","0","186","223","7","0","6","0","14","3","8","0","19","81","3","13","0","0","0","49","4","13","0","0","0","0","0","0","0","0","0","2","1","0","8","44","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","false"
"L187920","0","0","0","0","0","0","0","0","1","2","2","5","19","0","0","27","31","0","0.108696","10","0","0","5","0.108696","10","0","0","0","0","0","82","104","2","0","2","0","4","1","4","0","4","36","1","4","0","82","104","2","0","2","0","4","1","4","0","4","36","1","4","0","0","0","15","6","1","0","0","0","0","0","0","0","0","0","0","2","0","0","9","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","false"
"L187935","0","0","0","0","0","0","0","0","1","2","2","11","13","0","0","17","22","0","0.0266667","2","0","0","3","0.0266667","2","0","0","0","0","0","73","80","2","0","2","0","5","1","2","0","5","35","1","2","0","73","80","2","0","2","0","5","1","2","0","5","35","1","2","0","0","0","18","2","3","0","0","0","0","0","0","0","0","0","0","1","0","2","13","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","false"
"L187957","0.271429","2","6","2","0.265306","0.320513","26","25","1","3","3","12","8","0","0","9","13","0","0.0987654","8","0","0","3","0.0909091","8","0","0","0","0","0","73","91","1","0","1","0","4","1","2","0","4","30","1","2","0","80","98","1","0","1","0","5","1","3","0","5","32","1","3","0","0","0","31","6","3","0","0","0","0","12","0","0","0","0","0","0","0","2","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","4","1","0","0","2","0","false"
"L187977","0","0","0","0","0","0","0","0","1","1","1","1","4","0","0","8","9","0","0","0","0","0","2","0","0","0","0","0","0","0","17","17","0","0","0","0","1","0","1","0","1","6","0","1","0","17","17","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","false"
"L187983","0.256881","1","2","2","0.208333","0.223881","40","30","3","1","1","8","20","0","0","29","36","0","0.205882","35","0","0","7","0.205882","35","1","1","0","0","1","135","192","3","1","3","1","7","1","6","0","7","66","1","6","0","135","192","3","1","3","1","7","1","6","0","7","66","1","6","0","0","0","42","13","22","0","0","0","0","19","0","1","0","0","2","3","0","5","15","0","0","0","0","0","13","0","0","0","0","0","0","0","0","2","0","0","4","0","8","3","2","0","false"
