"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules","Number of bugs"
"L187525","AbstractTestBase","common.AbstractTestBase","L187516","L103","community\graph-algo\src\test\java\common\AbstractTestBase.java","38","1","121","2","0","0","0","0","0","0","0","0","1","2","2","8","5","0","0","8","14","0","0","0","0","0","3","0","0","0","0","0","0","0","51","60","1","1","1","1","6","0","2","0","6","15","0","2","0","73","84","3","1","3","1","9","0","5","0","9","18","0","5","0","0","0","24","0","5","0","0","0","0","0","0","0","0","0","0","0","0","5","24","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L187581","CsvFileReader","common.CsvFileReader","L187516","L103","community\graph-algo\src\test\java\common\CsvFileReader.java","29","1","87","2","0","0","0","0","0","0","0","0","1","2","2","10","1","1","1","0","5","0","0","0","0","0","4","0","0","1","1","0","0","1","53","59","4","0","2","0","5","0","3","0","9","18","0","7","0","53","59","4","0","2","0","5","0","3","0","9","18","0","7","0","0","0","13","2","1","0","0","0","0","0","0","0","0","0","0","0","0","1","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L187604","GraphDescription","common.GraphDescription","L187516","L103","community\graph-algo\src\test\java\common\GraphDescription.java","34","1","119","2","0","0","0","0","0","0","0","0","1","2","2","5","6","0","0","6","8","0","0","0","0","0","3","0","0","1","1","0","0","1","35","39","1","0","1","0","2","0","2","0","2","14","0","2","0","79","86","4","1","4","1","5","0","4","0","5","31","0","4","0","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","16","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L58923","Neo4jAlgoTestCase","common.Neo4jAlgoTestCase","L187516","L103","community\graph-algo\src\test\java\common\Neo4jAlgoTestCase.java","51","1","182","2","0.132678","1","4","1","0.121212","0.137931","16","16","4","2","2","22","9","40","44","11","21","0.125","0.0413223","5","5","1","7","0.04","5","0","0","23","27","0","116","128","3","1","3","1","10","0","7","2","10","43","0","7","2","120","132","6","1","6","1","10","3","7","2","11","43","3","8","2","0","0","36","2","8","0","0","0","0","9","0","1","0","0","0","0","0","7","23","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","1","0","2","0","0","2","0","0","0"
"L61677","SimpleGraphBuilder","common.SimpleGraphBuilder","L187516","L103","community\graph-algo\src\test\java\common\SimpleGraphBuilder.java","35","1","271","2","0","0","0","0","0","0","0","0","1","2","2","39","7","37","123","10","31","0.238095","0.139535","30","30","5","16","0.139535","30","0","0","0","0","0","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","185","237","6","6","6","6","21","1","20","1","21","83","1","20","1","0","1","43","4","9","0","0","0","0","0","0","0","0","0","6","0","0","3","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","8","2","0","2","0","0","0"
"L187797","TestSiteIndexExamples","examples.TestSiteIndexExamples","L187782","L103","community\graph-matching\src\test\java\examples\TestSiteIndexExamples.java","56","1","278","2","0","0","0","0","0","0","0","0","1","2","2","12","19","1","0","14","20","0.8","0.196721","24","19","4","1","0.114286","24","0","0","0","0","0","98","129","2","0","2","0","6","1","4","0","6","45","1","4","0","186","223","7","0","6","0","14","3","8","0","19","81","3","13","0","0","0","49","4","13","0","0","0","0","0","0","0","0","0","2","1","0","8","44","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","0"
"L187920","BatchInsertDocTest","examples.BatchInsertDocTest","L187782","L103","community\kernel\src\test\java\examples\BatchInsertDocTest.java","52","1","155","2","0","0","0","0","0","0","0","0","1","2","2","5","19","0","0","27","31","0","0.108696","10","0","0","5","0.108696","10","0","0","0","0","0","82","104","2","0","2","0","4","1","4","0","4","36","1","4","0","82","104","2","0","2","0","4","1","4","0","4","36","1","4","0","0","0","15","6","1","0","0","0","0","0","0","0","0","0","0","2","0","0","9","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","4","0","1","2","1","0","0"
"L187935","CreateAndLoadDenseNodeIT","examples.CreateAndLoadDenseNodeIT","L187782","L103","community\kernel\src\test\java\examples\CreateAndLoadDenseNodeIT.java","47","1","126","2","0","0","0","0","0","0","0","0","1","2","2","11","13","0","0","17","22","0","0.0266667","2","0","0","3","0.0266667","2","0","0","0","0","0","73","80","2","0","2","0","5","1","2","0","5","35","1","2","0","73","80","2","0","2","0","5","1","2","0","5","35","1","2","0","0","0","18","2","3","0","0","0","0","0","0","0","0","0","0","1","0","2","13","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","4","0","0","1","0","0","0"
"L187957","DeadlockDocTest","examples.DeadlockDocTest","L187782","L103","community\kernel\src\test\java\examples\DeadlockDocTest.java","35","1","132","2","0.271429","2","6","2","0.265306","0.320513","26","25","1","3","3","12","8","0","0","9","13","0","0.0987654","8","0","0","3","0.0909091","8","0","0","0","0","0","73","91","1","0","1","0","4","1","2","0","4","30","1","2","0","80","98","1","0","1","0","5","1","3","0","5","32","1","3","0","0","0","31","6","3","0","0","0","0","12","0","0","0","0","0","0","0","2","15","0","0","0","0","0","2","0","0","0","0","0","0","0","0","2","0","0","4","1","0","0","2","0","0"
"L187977","TakeItForASpin","examples.TakeItForASpin","L187782","L103","community\kernel\src\test\java\examples\TakeItForASpin.java","29","1","45","2","0","0","0","0","0","0","0","0","1","1","1","1","4","0","0","8","9","0","0","0","0","0","2","0","0","0","0","0","0","0","17","17","0","0","0","0","1","0","1","0","1","6","0","1","0","17","17","0","0","0","0","1","0","1","0","1","6","0","1","0","0","0","5","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
