"ID","Name","LongName","Parent","McCC","CLOC","LLOC","Number of previous modifications","Number of previous fixes","Number of committers","Number of developer commits","Number of bugs"
"L115","BranchedStore.java","advanced/management/src/main/java/org/neo4j/management/BranchedStore.java","L114","1","0","11","21","0","12","3","0"
"L116","BranchedStoreInfo.java","advanced/management/src/main/java/org/neo4j/management/BranchedStoreInfo.java","L114","1","0","30","18","0","9","3","0"
"L117","Cache.java","advanced/management/src/main/java/org/neo4j/management/Cache.java","L114","1","0","20","26","0","13","3","0"
"L118","ClusterDatabaseInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterDatabaseInfo.java","L114","1","0","21","29","0","11","3","0"
"L119","ClusterMemberInfo.java","advanced/management/src/main/java/org/neo4j/management/ClusterMemberInfo.java","L114","5","0","91","29","0","11","3","0"
"L120","Diagnostics.java","advanced/management/src/main/java/org/neo4j/management/Diagnostics.java","L114","1","0","20","19","0","9","3","0"
"L121","HighAvailability.java","advanced/management/src/main/java/org/neo4j/management/HighAvailability.java","L114","1","0","26","29","0","11","3","0"
"L122","IndexSamplingManager.java","advanced/management/src/main/java/org/neo4j/management/IndexSamplingManager.java","L114","1","0","13","11","0","8","3","0"
"L123","LockManager.java","advanced/management/src/main/java/org/neo4j/management/LockManager.java","L114","1","0","20","25","0","11","3","0"
"L124","Main.java","advanced/management/src/main/java/org/neo4j/management/Main.java","L114","14","0","92","21","0","9","3","0"
"L125","MemoryMapping.java","advanced/management/src/main/java/org/neo4j/management/MemoryMapping.java","L114","1","0","13","25","0","11","3","0"
"L126","Neo4jManager.java","advanced/management/src/main/java/org/neo4j/management/Neo4jManager.java","L114","26","0","330","36","0","14","3","0"
"L127","package-info.java","advanced/management/src/main/java/org/neo4j/management/package-info.java","L114","1","0","1","19","0","8","3","0"
"L128","PageCache.java","advanced/management/src/main/java/org/neo4j/management/PageCache.java","L114","1","0","29","9","0","7","3","0"
"L129","RemoteConnection.java","advanced/management/src/main/java/org/neo4j/management/RemoteConnection.java","L114","1","0","7","20","0","9","3","0"
"L130","TransactionManager.java","advanced/management/src/main/java/org/neo4j/management/TransactionManager.java","L114","1","0","21","25","0","11","3","0"
"L131","WindowPoolInfo.java","advanced/management/src/main/java/org/neo4j/management/WindowPoolInfo.java","L114","1","0","63","18","0","8","3","0"
"L336","AdvancedManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/AdvancedManagementSupport.java","L335","3","0","31","21","0","9","3","0"
"L337","BeanProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/BeanProxy.java","L335","8","0","130","21","0","9","3","0"
"L338","CacheBean.java","advanced/management/src/main/java/org/neo4j/management/impl/CacheBean.java","L335","1","0","69","37","0","12","412","0"
"L339","DiagnosticsBean.java","advanced/management/src/main/java/org/neo4j/management/impl/DiagnosticsBean.java","L335","2","0","70","34","0","13","412","0"
"L340","HotspotManagementSupport.java","advanced/management/src/main/java/org/neo4j/management/impl/HotspotManagementSupport.java","L335","35","0","238","30","0","13","3","0"
"L341","IndexSamplingManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/IndexSamplingManagerBean.java","L335","5","0","109","9","0","6","3","0"
"L342","KernelProxy.java","advanced/management/src/main/java/org/neo4j/management/impl/KernelProxy.java","L335","18","0","183","23","0","9","3","0"
"L343","LockManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/LockManagerBean.java","L335","2","0","80","37","0","15","3","0"
"L344","MemoryMappingBean.java","advanced/management/src/main/java/org/neo4j/management/impl/MemoryMappingBean.java","L335","1","0","55","39","0","12","3","0"
"L345","PageCacheBean.java","advanced/management/src/main/java/org/neo4j/management/impl/PageCacheBean.java","L335","1","0","80","11","0","7","3","0"
"L346","TransactionManagerBean.java","advanced/management/src/main/java/org/neo4j/management/impl/TransactionManagerBean.java","L335","2","0","69","39","0","13","3","0"
"L956","DataBrowser.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/DataBrowser.java","L955","4","0","55","18","0","8","3","0"
"L957","HaWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/HaWidget.java","L955","1","0","20","20","0","9","3","0"
"L958","KernelWidget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/KernelWidget.java","L955","1","0","19","20","0","9","3","0"
"L959","ManagementAccess.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/ManagementAccess.java","L955","4","0","42","19","0","9","3","0"
"L960","Neo4jPlugin.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Neo4jPlugin.java","L955","12","0","107","21","0","9","3","0"
"L961","UpdateEvent.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/UpdateEvent.java","L955","1","0","5","18","0","8","3","0"
"L962","Widget.java","advanced/management/src/main/java/org/neo4j/management/impl/jconsole/Widget.java","L955","2","0","24","18","0","8","3","0"
"L137","ManagementBeansTest.java","advanced/management/src/test/java/org/neo4j/management/ManagementBeansTest.java","L136","2","0","110","37","0","15","3","0"
"L138","TestCacheBeans.java","advanced/management/src/test/java/org/neo4j/management/TestCacheBeans.java","L136","4","0","127","37","0","13","412","0"
"L139","TestLockManagerBean.java","advanced/management/src/test/java/org/neo4j/management/TestLockManagerBean.java","L136","1","0","64","43","0","17","3","0"
"L348","CodeDuplicationValidationTest.java","advanced/management/src/test/java/org/neo4j/management/impl/CodeDuplicationValidationTest.java","L347","1","0","72","29","0","14","3","0"
"L349","IndexSamplingManagerBeanTest.java","advanced/management/src/test/java/org/neo4j/management/impl/IndexSamplingManagerBeanTest.java","L347","1","0","75","9","0","6","3","0"
"L2075","AdvancedBootstrapper.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedBootstrapper.java","L2074","1","0","11","31","0","11","1636","0"
"L2076","AdvancedNeoServer.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/AdvancedNeoServer.java","L2074","1","0","27","38","0","12","3","0"
"L2152","ServerManagement.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagement.java","L2151","2","0","36","28","0","12","3","0"
"L2153","ServerManagementMBean.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/jmx/ServerManagementMBean.java","L2151","1","0","4","18","0","8","3","0"
"L2279","JMXManagementModule.java","advanced/server-advanced/src/main/java/org/neo4j/server/advanced/modules/JMXManagementModule.java","L2278","4","0","50","32","0","13","3","0"
"L2083","AdvancedBootstrapperTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/AdvancedBootstrapperTest.java","L2082","1","0","16","25","0","12","1636","0"
"L2155","ServerManagementTest.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/jmx/ServerManagementTest.java","L2154","1","0","56","11","0","6","1296","0"
"L2314","AdvancedServerBuilder.java","advanced/server-advanced/src/test/java/org/neo4j/server/advanced/helpers/AdvancedServerBuilder.java","L2313","2","0","69","34","0","11","665","0"
"L2389","AdvancedVersionAndEditionServiceIT.java","advanced/server-advanced/src/test/java/org/neo4j/server/webadmin/rest/AdvancedVersionAndEditionServiceIT.java","L2388","1","0","86","24","0","11","2319","0"
"L2025","AbstractNeoServer.java","community/server/src/main/java/org/neo4j/server/AbstractNeoServer.java","L2024","29","0","596","189","2","22","5350","0"
"L2026","Bootstrapper.java","community/server/src/main/java/org/neo4j/server/Bootstrapper.java","L2024","15","0","194","82","0","17","9","0"
"L2027","CommunityBootstrapper.java","community/server/src/main/java/org/neo4j/server/CommunityBootstrapper.java","L2024","1","0","10","19","0","8","1636","0"
"L2028","CommunityNeoServer.java","community/server/src/main/java/org/neo4j/server/CommunityNeoServer.java","L2024","1","0","92","69","0","18","2319","0"
"L2029","InterruptThreadTimer.java","community/server/src/main/java/org/neo4j/server/InterruptThreadTimer.java","L2024","4","0","124","15","0","6","815","0"
"L2030","JAXRSHelper.java","community/server/src/main/java/org/neo4j/server/JAXRSHelper.java","L2024","5","0","41","18","0","9","815","0"
"L2031","LoggingProvider.java","community/server/src/main/java/org/neo4j/server/LoggingProvider.java","L2024","1","0","21","13","0","5","412","0"
"L2032","NeoServer.java","community/server/src/main/java/org/neo4j/server/NeoServer.java","L2024","1","0","28","43","0","12","2472","0"
"L2033","NeoServerProvider.java","community/server/src/main/java/org/neo4j/server/NeoServerProvider.java","L2024","1","0","20","16","0","8","815","0"
"L2034","RoundRobinJobScheduler.java","community/server/src/main/java/org/neo4j/server/RoundRobinJobScheduler.java","L2024","2","0","29","39","0","14","412","0"
"L2035","ServerStartupException.java","community/server/src/main/java/org/neo4j/server/ServerStartupException.java","L2024","1","0","17","17","0","9","815","0"
"L2036","WrappingNeoServer.java","community/server/src/main/java/org/neo4j/server/WrappingNeoServer.java","L2024","1","0","37","25","0","11","412","0"
"L2037","WrappingNeoServerBootstrapper.java","community/server/src/main/java/org/neo4j/server/WrappingNeoServerBootstrapper.java","L2024","1","0","41","49","0","15","9","0"
"L4299","BooleanTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/BooleanTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4300","ByteTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/ByteTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4301","CharacterTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/CharacterTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4302","DataExtractor.java","community/server/src/main/java/org/neo4j/server/plugins/DataExtractor.java","L4298","1","0","11","13","0","7","5350","0"
"L4303","DoubleTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/DoubleTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4304","FloatTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/FloatTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4305","IntegerTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/IntegerTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4306","ListParameterExtractor.java","community/server/src/main/java/org/neo4j/server/plugins/ListParameterExtractor.java","L4298","4","0","28","13","0","7","5350","0"
"L4307","LongTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/LongTypeCaster.java","L4298","2","0","28","13","0","7","5350","0"
"L4308","MapTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/MapTypeCaster.java","L4298","1","0","18","5","0","3","5350","0"
"L4309","NodeTypeCaster.java","community/server/src/main/java/org/neo4j/server/plugins/NodeTypeCaster.java","L4298","1","0","16","12","0","6","5350","0"
"L4310","ParameterExtractor.java","community/server/src/main/java/org/neo4j/server/plugins/ParameterExtractor.java","L4298","4","0","31","12","0","6","5350","0"
"L4311","PluginInvocator.java","community/server/src/main/java/org/neo4j/server/plugins/PluginInvocator.java","L4298","1","0","16","10","0","6","5350","0"
"L4312","PluginInvocatorProvider.java","community/server/src/main/java/org/neo4j/server/plugins/PluginInvocatorProvider.java","L4298","1","0","20","4","0","3","268","0"
"L4313","PluginManager.java","community/server/src/main/java/org/neo4j/server/plugins/PluginManager.java","L4298","17","0","152","52","0","15","412","0"
