@RELATION bughunter

@ATTRIBUTE "unique_id" STRING
@ATTRIBUTE "McCC" NUMERIC
@ATTRIBUTE "CLOC" NUMERIC
@ATTRIBUTE "LLOC" NUMERIC
@ATTRIBUTE "Number of previous modifications" NUMERIC
@ATTRIBUTE "Number of previous fixes" NUMERIC
@ATTRIBUTE "Number of committers" NUMERIC
@ATTRIBUTE "Number of developer commits" NUMERIC
@ATTRIBUTE "Bug class" {true,false}

@DATA
"L115","1","0","11","21","0","12","3","false"
"L116","1","0","30","18","0","9","3","false"
"L117","1","0","20","26","0","13","3","false"
"L118","1","0","21","29","0","11","3","false"
"L119","5","0","91","29","0","11","3","false"
"L120","1","0","20","19","0","9","3","false"
"L121","1","0","26","29","0","11","3","false"
"L122","1","0","13","11","0","8","3","false"
"L123","1","0","20","25","0","11","3","false"
"L124","14","0","92","21","0","9","3","false"
"L125","1","0","13","25","0","11","3","false"
"L126","26","0","330","36","0","14","3","false"
"L127","1","0","1","19","0","8","3","false"
"L128","1","0","29","9","0","7","3","false"
"L129","1","0","7","20","0","9","3","false"
"L130","1","0","21","25","0","11","3","false"
"L131","1","0","63","18","0","8","3","false"
"L336","3","0","31","21","0","9","3","false"
"L337","8","0","130","21","0","9","3","false"
"L338","1","0","69","37","0","12","412","false"
"L339","2","0","70","34","0","13","412","false"
"L340","35","0","238","30","0","13","3","false"
"L341","5","0","109","9","0","6","3","false"
"L342","18","0","183","23","0","9","3","false"
"L343","2","0","80","37","0","15","3","false"
"L344","1","0","55","39","0","12","3","false"
"L345","1","0","80","11","0","7","3","false"
"L346","2","0","69","39","0","13","3","false"
"L956","4","0","55","18","0","8","3","false"
"L957","1","0","20","20","0","9","3","false"
"L958","1","0","19","20","0","9","3","false"
"L959","4","0","42","19","0","9","3","false"
"L960","12","0","107","21","0","9","3","false"
"L961","1","0","5","18","0","8","3","false"
"L962","2","0","24","18","0","8","3","false"
"L137","2","0","110","37","0","15","3","false"
"L138","4","0","127","37","0","13","412","false"
"L139","1","0","64","43","0","17","3","false"
"L348","1","0","72","29","0","14","3","false"
"L349","1","0","75","9","0","6","3","false"
"L2075","1","0","11","31","0","11","1636","false"
"L2076","1","0","27","38","0","12","3","false"
"L2152","2","0","36","28","0","12","3","false"
"L2153","1","0","4","18","0","8","3","false"
"L2279","4","0","50","32","0","13","3","false"
"L2083","1","0","16","25","0","12","1636","false"
"L2155","1","0","56","11","0","6","1296","false"
"L2314","2","0","69","34","0","11","665","false"
"L2389","1","0","86","24","0","11","2319","false"
"L2025","29","0","596","189","2","22","5350","false"
"L2026","15","0","194","82","0","17","9","false"
"L2027","1","0","10","19","0","8","1636","false"
"L2028","1","0","92","69","0","18","2319","false"
"L2029","4","0","124","15","0","6","815","false"
"L2030","5","0","41","18","0","9","815","false"
"L2031","1","0","21","13","0","5","412","false"
"L2032","1","0","28","43","0","12","2472","false"
"L2033","1","0","20","16","0","8","815","false"
"L2034","2","0","29","39","0","14","412","false"
"L2035","1","0","17","17","0","9","815","false"
"L2036","1","0","37","25","0","11","412","false"
"L2037","1","0","41","49","0","15","9","false"
"L4299","2","0","28","13","0","7","5350","false"
"L4300","2","0","28","13","0","7","5350","false"
"L4301","2","0","28","13","0","7","5350","false"
"L4302","1","0","11","13","0","7","5350","false"
"L4303","2","0","28","13","0","7","5350","false"
"L4304","2","0","28","13","0","7","5350","false"
"L4305","2","0","28","13","0","7","5350","false"
"L4306","4","0","28","13","0","7","5350","false"
"L4307","2","0","28","13","0","7","5350","false"
"L4308","1","0","18","5","0","3","5350","false"
"L4309","1","0","16","12","0","6","5350","false"
"L4310","4","0","31","12","0","6","5350","false"
"L4311","1","0","16","10","0","6","5350","false"
"L4312","1","0","20","4","0","3","268","false"
"L4313","17","0","152","52","0","15","412","false"
"L4314","9","0","69","22","0","9","2472","false"
"L4315","29","0","207","17","0","7","1636","false"
"L4316","1","0","16","12","0","6","5350","false"
"L4317","4","0","27","12","0","6","5350","false"
"L4318","27","0","221","7","0","4","2319","false"
"L4319","2","0","28","12","0","6","5350","false"
"L4320","1","0","13","10","0","5","5350","false"
"L4321","1","0","8","9","0","6","2319","false"
"L4322","1","0","16","12","0","6","5350","false"
"L4323","1","0","14","12","0","6","5350","false"
"L4324","1","0","16","12","0","6","5350","false"
"L4325","4","0","40","15","0","6","5350","false"
"L19770","4","0","86","10","1","7","665","false"
"L19771","5","0","140","124","0","22","2319","false"
"L19772","6","0","81","4","0","4","1296","false"
"L19773","13","0","129","75","0","18","665","false"
"L19774","1","0","35","46","0","15","2319","false"
"L19775","4","0","114","16","0","10","9","false"
"L19776","1","0","19","6","0","4","2319","false"
"L20238","1","0","28","14","0","8","2472","false"
"L20239","1","0","18","1","0","1","268","false"
"L20240","1","0","17","103","0","16","665","false"
"L20241","1","0","18","9","0","5","268","false"
"L20242","1","0","19","5","0","3","2472","false"
"L20243","1","0","7","12","0","7","5350","false"
"L20244","1","0","19","11","0","7","268","false"
"L20245","2","0","41","2","0","2","2319","false"
"L20246","4","0","112","17","0","8","665","false"
"L20247","1","0","13","2","0","2","5350","false"
"L20248","1","0","26","8","0","5","2319","false"
"L20249","2","0","55","26","0","10","665","false"
"L20459","9","0","71","23","0","12","2319","false"
"L20579","9","0","161","21","0","9","412","false"
"L20580","2","0","13","13","0","8","412","false"
"L20581","1","0","35","13","0","7","412","false"
"L20708","2","0","34","5","0","2","412","false"
"L20709","1","0","31","4","0","3","412","false"
"L20710","7","0","62","4","0","4","2319","false"
"L20711","1","0","43","60","0","13","2319","false"
"L20712","1","0","22","10","0","7","1296","false"
"L20713","6","0","116","51","0","12","665","false"
"L20714","6","0","63","29","0","10","412","false"
